Results Scores for CC,Ground Truth Labels
-0.023273300379514694,5.514289855957031
-0.05008753016591072,5.567570209503174
-0.102066770195961,4.944439888000488
-0.19824722409248352,4.378379821777344
-0.3485264778137207,3.8648600578308105
-0.017427459359169006,6.028570175170898
-0.03782429173588753,6.108109951019287
-0.0778450071811676,5.388889789581299
-0.15038424730300903,4.714290142059326
-0.28139397501945496,4.361110210418701
-0.0849158838391304,4.771430015563965
-0.16044440865516663,4.270269870758057
-0.26368361711502075,3.702699899673462
-0.37487155199050903,3.1944398880004883
-0.48855695128440857,2.714289903640747
-0.002757687121629715,5.971429824829102
-0.006056513637304306,5.756760120391846
-0.01384744793176651,5.270269870758057
-0.030459994450211525,5.243239879608154
-0.07564230263233185,4.714290142059326
-0.010823354125022888,5.918920040130615
-0.02392079122364521,5.702700138092041
-0.0823776125907898,5.083330154418945
-0.24900522828102112,4.138889789581299
-0.6306381821632385,3.138890027999878
-0.027630271390080452,4.0
-0.05569310858845711,3.891890048980713
-0.11199776828289032,3.7297298908233643
-0.2007216215133667,3.4857099056243896
-0.36559927463531494,2.9444398880004883
-0.02459787391126156,5.083330154418945
-0.051858533173799515,4.75
-0.10494980961084366,4.0
-0.20793646574020386,3.222219944000244
-0.29176974296569824,2.1944398880004883
-0.05768998712301254,5.189189910888672
-0.16530342400074005,4.472219944000244
-0.38474950194358826,3.48649001121521
-0.5944740176200867,3.0
-0.7998800277709961,2.111109972000122
-0.05869399011135101,6.083330154418945
-0.1345563530921936,5.166669845581055
-0.3357587456703186,4.428569793701172
-0.5894149541854858,2.810810089111328
-0.7956690788269043,1.5405399799346924
-0.018754014745354652,5.972970008850098
-0.04078923165798187,5.945950031280518
-0.13468322157859802,4.916669845581055
-0.3070257008075714,3.216219902038574
-0.5070518255233765,2.0810799598693848
-0.02298983931541443,5.914289951324463
-0.07764656096696854,5.675680160522461
-0.19477853178977966,4.694439888000488
-0.41927921772003174,3.675679922103882
-0.816765308380127,1.4594600200653076
-0.02508607506752014,5.945950031280518
-0.02167048491537571,5.8648600578308105
-0.1324465423822403,4.216219902038574
-0.1202092170715332,3.833329916000366
-0.25110000371932983,3.4324300289154053
-0.020377224311232567,5.4594597816467285
-0.08068357408046722,3.914289951324463
-0.12418957054615021,3.277780055999756
-0.18787501752376556,3.166670083999634
-0.23367342352867126,3.108109951019287
-0.011629517190158367,5.694439888000488
-0.014220586977899075,6.054049968719482
-0.040751051157712936,5.756760120391846
-0.06937649846076965,5.555560111999512
-0.1011250913143158,4.470590114593506
-0.07998298108577728,2.833329916000366
-0.06842874735593796,2.8285698890686035
-0.06083086505532265,3.108109951019287
-0.04217629134654999,3.583329916000366
-0.02698609046638012,3.891890048980713
-0.0013045065570622683,5.805560111999512
-0.003645656630396843,6.054049968719482
-0.013374441303312778,4.888889789581299
-0.025899674743413925,5.027780055999756
