Results Scores for CC,Ground Truth Labels
-0.0,4.570000171661377
-0.014817524701356888,4.329999923706055
-0.14039617776870728,2.6700000762939453
-0.29871806502342224,1.6699999570846558
-0.5089933276176453,1.100000023841858
-0.05727250874042511,3.8299999237060547
-0.1781010627746582,2.2699999809265137
-0.3152589797973633,1.5299999713897705
-0.40600359439849854,1.2300000190734863
-0.46629050374031067,1.2000000476837158
-0.0,4.730000019073486
-0.04945769160985947,3.9700000286102295
-0.1344936490058899,2.700000047683716
-0.17166495323181152,2.0299999713897705
-0.26005661487579346,1.5
-0.03584488853812218,4.730000019073486
-0.30863094329833984,2.1700000762939453
-0.4316384792327881,1.3700000047683716
-0.4931979477405548,1.5
-0.6041048765182495,1.4700000286102295
-0.0407000370323658,4.0
-0.08721492439508438,2.200000047683716
-0.10543380677700043,1.5700000524520874
-0.10683592408895493,1.3300000429153442
-0.11782651394605637,1.600000023841858
-0.16151101887226105,4.230000019073486
-0.2028810977935791,4.400000095367432
-0.2580377757549286,3.9000000953674316
-0.3516853153705597,2.9000000953674316
-0.486616313457489,2.2699999809265137
-0.12260010093450546,2.7300000190734863
-0.2228977084159851,2.5
-0.28416943550109863,2.2699999809265137
-0.3429301381111145,2.4700000286102295
-0.4616839289665222,2.200000047683716
-0.0,4.699999809265137
-0.20092637836933136,3.7699999809265137
-0.29502350091934204,2.7300000190734863
-0.3850192427635193,1.9700000286102295
-0.47921663522720337,1.6699999570846558
-0.013395147398114204,4.599999904632568
-0.07081478089094162,4.670000076293945
-0.09026037156581879,4.400000095367432
-0.2322790026664734,2.9000000953674316
-0.43696051836013794,1.3700000047683716
-0.06469154357910156,4.369999885559082
-0.07424769550561905,3.930000066757202
-0.11129368096590042,3.7699999809265137
-0.37203115224838257,1.5800000429153442
-0.5032917261123657,1.1699999570846558
-0.24272091686725616,4.03000020980835
-0.3502136766910553,3.2699999809265137
-0.41608691215515137,2.6700000762939453
-0.5256521701812744,2.2699999809265137
-0.6956457495689392,2.369999885559082
-0.12258327007293701,4.429999828338623
-0.35726574063301086,3.700000047683716
-0.48629847168922424,2.7699999809265137
-0.6495771408081055,2.369999885559082
-0.7589454054832458,1.9700000286102295
-0.1292428821325302,3.6700000762939453
-0.32579147815704346,2.869999885559082
-0.43193647265434265,2.5999999046325684
