hq_name,dist_name,mos
A0001.bmp,A0001_00_00.bmp,0.656335883
A0001.bmp,A0001_00_01.bmp,0.566063363
A0001.bmp,A0001_00_02.bmp,0.684615652
A0001.bmp,A0001_00_03.bmp,0.677552672
A0001.bmp,A0001_00_04.bmp,0.53855899
A0001.bmp,A0001_00_05.bmp,0.755226418
A0001.bmp,A0001_00_06.bmp,0.717157055
A0001.bmp,A0001_00_07.bmp,0.578302613
A0001.bmp,A0001_00_08.bmp,0.661185264
A0001.bmp,A0001_00_09.bmp,0.592384626
A0001.bmp,A0001_00_10.bmp,0.552445957
A0001.bmp,A0001_00_11.bmp,0.669080968
A0001.bmp,A0001_01_00.bmp,0.728830531
A0001.bmp,A0001_01_01.bmp,0.647127727
A0001.bmp,A0001_01_02.bmp,0.614293811
A0001.bmp,A0001_01_03.bmp,0.716633271
A0001.bmp,A0001_01_04.bmp,0.608806643
A0001.bmp,A0001_01_05.bmp,0.596904833
A0001.bmp,A0001_01_06.bmp,0.748624237
A0001.bmp,A0001_01_07.bmp,0.652926337
A0001.bmp,A0001_01_08.bmp,0.592205027
A0001.bmp,A0001_01_09.bmp,0.755488909
A0001.bmp,A0001_01_10.bmp,0.688239172
A0001.bmp,A0001_01_11.bmp,0.630769457
A0001.bmp,A0001_01_12.bmp,0.707369527
A0001.bmp,A0001_01_13.bmp,0.656360359
A0001.bmp,A0001_01_14.bmp,0.583825136
A0001.bmp,A0001_01_15.bmp,0.435007919
A0001.bmp,A0001_02_00.bmp,0.683173751
A0001.bmp,A0001_02_01.bmp,0.612494887
A0001.bmp,A0001_02_02.bmp,0.66900047
A0001.bmp,A0001_02_03.bmp,0.736021656
A0001.bmp,A0001_02_04.bmp,0.776414054
A0001.bmp,A0001_02_05.bmp,0.600415437
A0001.bmp,A0001_02_06.bmp,0.582580455
A0001.bmp,A0001_02_07.bmp,0.546718055
A0001.bmp,A0001_02_08.bmp,0.599466426
A0001.bmp,A0001_02_09.bmp,0.796020873
A0001.bmp,A0001_03_00.bmp,0.565383151
A0001.bmp,A0001_03_01.bmp,0.589460464
A0001.bmp,A0001_03_02.bmp,0.542599905
A0001.bmp,A0001_03_03.bmp,0.676806865
A0001.bmp,A0001_03_04.bmp,0.69643544
A0001.bmp,A0001_03_05.bmp,0.609475433
A0001.bmp,A0001_03_06.bmp,0.709756525
A0001.bmp,A0001_03_07.bmp,0.636885601
A0001.bmp,A0001_03_08.bmp,0.729725261
A0001.bmp,A0001_03_09.bmp,0.691156372
A0001.bmp,A0001_03_10.bmp,0.676587343
A0001.bmp,A0001_03_11.bmp,0.639419998
A0001.bmp,A0001_03_12.bmp,0.659152242
A0001.bmp,A0001_03_13.bmp,0.589054056
A0001.bmp,A0001_03_14.bmp,0.686367909
A0001.bmp,A0001_03_15.bmp,0.673490762
A0001.bmp,A0001_03_16.bmp,0.56819505
A0001.bmp,A0001_03_17.bmp,0.654340174
A0001.bmp,A0001_03_18.bmp,0.630255028
A0001.bmp,A0001_03_19.bmp,0.649934513
A0001.bmp,A0001_03_20.bmp,0.499350791
A0001.bmp,A0001_03_21.bmp,0.479510526
A0001.bmp,A0001_03_22.bmp,0.506815828
A0001.bmp,A0001_03_23.bmp,0.361804123
A0001.bmp,A0001_04_00.bmp,0.604686752
A0001.bmp,A0001_04_01.bmp,0.573803945
A0001.bmp,A0001_04_02.bmp,0.652920246
A0001.bmp,A0001_04_03.bmp,0.609736074
A0001.bmp,A0001_04_04.bmp,0.436558168
A0001.bmp,A0001_04_05.bmp,0.614166536
A0001.bmp,A0001_04_06.bmp,0.479501714
A0001.bmp,A0001_04_07.bmp,0.397434274
